filename,R,G,B,H,S,V,contrast,correlation,energy,homogeneity,label
19256-1(12).jpg,192.22130102040816,189.61477598852042,171.93377311862244,28.27439413265306,30.333785076530614,192.92641900510205,29.21056213965407,0.9950296468308027,0.04430794198186357,0.4154203624036474,segar
19256-1(13).jpg,126.29862882653062,127.40441645408163,118.93094308035714,48.52915736607143,38.62280771683673,130.1575255102041,24.855921684817424,0.9973043966255185,0.028685542238072157,0.39972977269182575,segar
19256-1(14).jpg,124.34177694515306,136.33304767219389,139.54007892219389,50.94999601403061,64.76612324617346,150.5919961734694,38.88232703395259,0.9933794182255526,0.035592199953529885,0.38417208168593026,segar
19256-1(15).jpg,68.21886957908163,98.09382971938776,125.05141900510205,102.41242825255102,106.50191326530613,126.08906648596938,17.985806374119157,0.9959059934654978,0.0749604270763839,0.4938925471561721,segar
19256-1(16).jpg,147.13950892857142,149.1735690369898,141.32995854591837,59.82830436862245,45.62679368622449,153.9971699617347,56.86809336963484,0.9958452762333023,0.03383696839921334,0.3636216687097791,segar
19256-1(17).jpg,156.28451849489795,157.81427375637756,147.48636798469389,53.32328204719388,44.5046237244898,162.18510841836735,40.992432735426014,0.9969796097472003,0.039189947951458415,0.4000704967926063,segar
19256-1(18).jpg,132.92625956632654,135.53013392857142,130.23610889668367,58.28262515943877,39.66446109693877,139.5632772640306,31.117813100576555,0.9970466191076295,0.026649155451422372,0.3824338167356661,segar
19256-1(19).jpg,100.22566565688776,114.7633131377551,124.23760363520408,66.07860331632654,69.87906568877551,130.41838727678572,36.61214766175529,0.9938814350411939,0.02643878692270999,0.34894298693821274,segar
19256-1(2).jpg,118.61668925382654,122.10235969387755,127.0440449617347,96.82005341198979,37.342753507653065,128.5558633609694,62.68685938500961,0.9928220571897534,0.015284991204494168,0.21700804077384667,segar
19256-1(20).jpg,87.59988839285714,104.58862802933673,117.04864875637755,78.33928571428571,82.67610012755102,121.55614237882654,28.676209160794365,0.9953972483941534,0.03619052252258962,0.39778465227924864,segar
19256-1(21).jpg,97.67775430484694,108.55570392219387,114.96946747448979,71.88169642857143,63.30909199617347,120.48820153061224,27.404748558616273,0.9957115871705472,0.033918363966079355,0.3846491857774035,segar
19256-1(22).jpg,120.76050302933673,129.09353077168367,133.01309390943877,55.925083705357146,68.02120535714286,141.78894292091837,48.1043802049968,0.9947443421858129,0.02394505237852848,0.3208451646452064,segar
19256-1(23).jpg,86.03742825255102,105.43423150510205,119.49559550382654,79.34414859693878,87.10407366071429,123.95587531887755,31.073130204996797,0.9948058339083132,0.03855360009007638,0.4031659710550286,segar
19256-1(3).jpg,116.24946189413265,118.03557477678571,119.16629464285714,55.98455436862245,35.42494419642857,124.9429009885204,50.363408872517624,0.9913818392987586,0.018667499883610234,0.2659208557076823,segar
19256-1(4).jpg,116.57485650510205,124.75119579081633,128.43301578443877,86.52734375,41.437420280612244,130.4967115752551,48.37700192184497,0.9941447919089871,0.016548303012145292,0.2517223561280786,segar
19256-1(5).jpg,127.63799426020408,141.90359933035714,150.96320950255102,67.81020806760205,53.89405293367347,156.28774713010205,21.086943465727096,0.9944763588160621,0.034123628428723414,0.4176304661285762,segar
19256-1(6).jpg,93.369140625,107.59111926020408,119.24461894132654,89.73985570790816,63.45491868622449,122.05687978316327,20.68125400384369,0.9948608293755256,0.03343543018208632,0.39239677549764224,segar
19256-1(7).jpg,88.73018973214286,85.18943319515306,74.59458705357143,35.34859295280612,67.42456552933673,92.53053252551021,23.781910634208845,0.9947928591562246,0.039575362012192,0.41315548675757097,segar
19256-1(8).jpg,160.7238919005102,155.6326132015306,143.70916374362244,25.380759725765305,31.279017857142858,161.5700534119898,40.428611467008324,0.9937861656810011,0.023342151173827586,0.3255153320650445,segar
19256-1(9).jpg,118.7958984375,143.19782366071428,150.74663185586735,53.13333067602041,88.83013791454081,164.4423230229592,15.288276745675848,0.9970652401066823,0.05861164951513578,0.5024580904854604,segar
19256.jpg,150.39803890306123,150.98995535714286,150.31770169005102,72.35024713010205,12.508370535714286,153.32120934311226,52.75114109545163,0.9927985650426374,0.01710010422645446,0.23783948213097822,segar
20260613_105959.jpg,122.55265465561224,129.47839604591837,138.86774553571428,71.01596380739795,60.991230867346935,145.25721460459184,60.94738949391416,0.9917063537385976,0.01804901027689707,0.24987167800939772,segar
213331312.jpeg,92.93078364158163,99.69754464285714,105.55534518494898,101.69122688137755,40.60682397959184,105.79555963010205,18.048306374119154,0.9955344122567343,0.02326190974278029,0.3204391414093187,segar
234424.jpeg,66.35674426020408,70.4029615752551,74.56788105867346,100.1131816007653,52.99683115433673,75.0682597257653,25.25328315182575,0.9930855036947227,0.029167554726954002,0.3106682695714042,segar
234424124.jpeg,139.22869499362244,150.2029655612245,157.01173867984693,98.41033561862245,34.40638950892857,157.29320790816325,39.22863949391416,0.9934809498567405,0.01852270546636886,0.26281096580807195,segar
23444434.jpeg,81.42883051658163,87.65973772321429,95.89219945790816,96.15688775510205,62.43823740433673,97.48290019132654,19.894158392056376,0.9959427211989443,0.025474512506402102,0.360339001988357,segar
23552335325.jpeg,170.626953125,165.1680683992347,151.6600964604592,24.811662946428573,30.727279974489797,170.87033641581633,24.065062459961563,0.9962339102521045,0.029854602146696992,0.3910303800902978,segar
2355525.jpeg,114.24021444515306,118.02008928571429,116.16059470663265,55.32358099489796,36.30193718112245,123.7698899872449,32.71418561819346,0.994569002064882,0.021161024126599287,0.3271608609500264,segar
24324242.jpeg,111.66816804846938,119.44909917091837,125.6709980867347,100.37440210459184,37.95770886479592,126.05831473214286,29.248778827674567,0.9941612208097328,0.019885005138832037,0.28878393049468243,segar
